locus_tag	ftype	length_bp	gene	EC_number	COG	product
PDJKFJDK_00101	CDS	1017	curA	1.3.1.-	COG2130	NADPH-dependent curcumin reductase
PDJKFJDK_00102	CDS	408				hypothetical protein
PDJKFJDK_00103	CDS	549				hypothetical protein
PDJKFJDK_00104	CDS	774				hypothetical protein
PDJKFJDK_00105	CDS	1119	namA	1.6.99.1	COG1902	NADPH dehydrogenase
PDJKFJDK_00106	CDS	990	yqjG	1.8.5.7	COG0435	Glutathionyl-hydroquinone reductase YqjG
PDJKFJDK_00107	CDS	516				hypothetical protein
PDJKFJDK_00108	CDS	909	cnoX		COG3118	Chaperedoxin
PDJKFJDK_00109	CDS	669	lon2	3.4.21.53	COG0466	Lon protease 2
PDJKFJDK_00110	CDS	207				hypothetical protein
PDJKFJDK_00111	CDS	978				hypothetical protein
PDJKFJDK_00112	CDS	1116				Blue-light-activated protein
PDJKFJDK_00113	CDS	705				hypothetical protein
PDJKFJDK_00114	CDS	90				hypothetical protein
PDJKFJDK_00115	CDS	660				hypothetical protein
PDJKFJDK_00116	CDS	624				hypothetical protein
PDJKFJDK_00117	CDS	621				hypothetical protein
PDJKFJDK_00118	CDS	825				hypothetical protein
PDJKFJDK_00119	CDS	888				hypothetical protein
PDJKFJDK_00120	CDS	432	hrp1		COG0517	Hypoxic response protein 1
PDJKFJDK_00121	CDS	1056			COG1752	putative NTE family protein
PDJKFJDK_00122	CDS	423	hisI	3.5.4.19		Phosphoribosyl-AMP cyclohydrolase
PDJKFJDK_00123	CDS	810	folE	3.5.4.16		GTP cyclohydrolase 1
PDJKFJDK_00124	CDS	486				hypothetical protein
PDJKFJDK_00125	CDS	381	yidD			Putative membrane protein insertion efficiency factor
PDJKFJDK_00126	CDS	768	ybhL		COG0670	Inner membrane protein YbhL
PDJKFJDK_00127	CDS	2583				hypothetical protein
PDJKFJDK_00128	CDS	1416	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
PDJKFJDK_00129	CDS	750	pdxJ	2.6.99.2	COG0854	Pyridoxine 5'-phosphate synthase
PDJKFJDK_00130	CDS	411	acpS	2.7.8.7	COG0736	Holo-[acyl-carrier-protein] synthase
PDJKFJDK_00131	CDS	807	lepB	3.4.21.89	COG0681	Signal peptidase I
PDJKFJDK_00132	CDS	696	rnc	3.1.26.3	COG0571	Ribonuclease 3
PDJKFJDK_00133	CDS	981	era		COG1159	GTPase Era
PDJKFJDK_00134	CDS	927	rsmC	2.1.1.172		Ribosomal RNA small subunit methyltransferase C
PDJKFJDK_00135	CDS	729	rsuA	5.4.99.19	COG1187	Ribosomal small subunit pseudouridine synthase A
PDJKFJDK_00136	CDS	624				hypothetical protein
PDJKFJDK_00137	CDS	207				hypothetical protein
PDJKFJDK_00138	CDS	792				hypothetical protein
PDJKFJDK_00139	CDS	306				hypothetical protein
PDJKFJDK_00140	CDS	1929	kup_1			Low affinity potassium transport system protein kup
PDJKFJDK_00141	CDS	657				hypothetical protein
PDJKFJDK_00142	CDS	588	rppH	3.6.1.-	COG0494	RNA pyrophosphohydrolase
PDJKFJDK_00143	CDS	1689				hypothetical protein
PDJKFJDK_00144	CDS	1206				hypothetical protein
PDJKFJDK_00145	CDS	1323	ctpB	3.4.21.102	COG0793	Carboxy-terminal processing protease CtpB
PDJKFJDK_00146	CDS	1431				hypothetical protein
PDJKFJDK_00147	CDS	498	rlmH	2.1.1.177	COG1576	Ribosomal RNA large subunit methyltransferase H
PDJKFJDK_00148	CDS	1311	proP_2			Proline/betaine transporter
PDJKFJDK_00149	CDS	1950				hypothetical protein
PDJKFJDK_00150	CDS	810			COG3039	IS5 family transposase ISMdi26
PDJKFJDK_00151	CDS	627	nsaD	5.99.1.4		2-hydroxychromene-2-carboxylate isomerase
PDJKFJDK_00152	CDS	1242	argG	6.3.4.5	COG0137	Argininosuccinate synthase
PDJKFJDK_00153	CDS	996				hypothetical protein
PDJKFJDK_00154	CDS	666				hypothetical protein
PDJKFJDK_00155	CDS	702	mupP	3.1.3.105	COG0546	N-acetylmuramic acid 6-phosphate phosphatase
PDJKFJDK_00156	CDS	498				hypothetical protein
PDJKFJDK_00157	CDS	726	rpiA	5.3.1.6	COG0120	Ribose-5-phosphate isomerase A
PDJKFJDK_00158	CDS	597				hypothetical protein
PDJKFJDK_00159	CDS	1242				hypothetical protein
PDJKFJDK_00160	CDS	1386	garB	1.8.1.16		Glutathione amide reductase
PDJKFJDK_00161	CDS	1410				hypothetical protein
PDJKFJDK_00162	CDS	537	recX			Regulatory protein RecX
PDJKFJDK_00163	CDS	432	osmC	1.11.1.15	COG1764	Peroxiredoxin OsmC
PDJKFJDK_00164	CDS	1269				hypothetical protein
PDJKFJDK_00165	CDS	1455				hypothetical protein
PDJKFJDK_00166	CDS	1173	fdm_1	1.2.98.1		Formaldehyde dismutase
PDJKFJDK_00167	CDS	585				hypothetical protein
PDJKFJDK_00168	CDS	1638				hypothetical protein
PDJKFJDK_00169	CDS	1104				hypothetical protein
PDJKFJDK_00170	CDS	663				hypothetical protein
PDJKFJDK_00171	CDS	603	yfcG_1	1.8.4.-	COG0625	Disulfide-bond oxidoreductase YfcG
PDJKFJDK_00172	CDS	993		1.11.1.-	COG0753	Catalase-related peroxidase
PDJKFJDK_00173	CDS	264				hypothetical protein
PDJKFJDK_00174	CDS	606				hypothetical protein
PDJKFJDK_00175	CDS	588	ydjA	1.-.-.-	COG0778	Putative NAD(P)H nitroreductase YdjA
PDJKFJDK_00176	CDS	933				hypothetical protein
PDJKFJDK_00177	CDS	393				hypothetical protein
PDJKFJDK_00178	CDS	132				hypothetical protein
PDJKFJDK_00179	CDS	1395	hisC_1	2.6.1.9		Histidinol-phosphate aminotransferase
PDJKFJDK_00180	CDS	2301				hypothetical protein
PDJKFJDK_00181	CDS	2028	thrS	6.1.1.3	COG0441	Threonine--tRNA ligase
PDJKFJDK_00182	CDS	762				hypothetical protein
PDJKFJDK_00183	CDS	966	mak	2.7.1.4	COG1940	Fructokinase
PDJKFJDK_00184	CDS	1398	dctA1			C4-dicarboxylate transport protein
PDJKFJDK_00185	CDS	2976	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
PDJKFJDK_00186	CDS	519	lspA	3.4.23.36	COG0597	Lipoprotein signal peptidase
PDJKFJDK_00187	CDS	705				hypothetical protein
PDJKFJDK_00188	CDS	1383		3.4.24.-	COG0612	putative zinc protease
PDJKFJDK_00189	CDS	1284				hypothetical protein
PDJKFJDK_00190	CDS	408				hypothetical protein
PDJKFJDK_00191	CDS	933	mhqA	1.13.11.-	COG0346	Putative ring-cleaving dioxygenase MhqA
PDJKFJDK_00192	CDS	774	fpr	1.18.1.2	COG1018	Ferredoxin--NADP reductase
PDJKFJDK_00193	CDS	693	bioD	6.3.3.3		ATP-dependent dethiobiotin synthetase BioD
PDJKFJDK_00194	CDS	360				hypothetical protein
PDJKFJDK_00195	CDS	420				hypothetical protein
PDJKFJDK_00196	CDS	675				hypothetical protein
PDJKFJDK_00197	CDS	1008				hypothetical protein
PDJKFJDK_00198	CDS	261				hypothetical protein
PDJKFJDK_00199	CDS	531				hypothetical protein
PDJKFJDK_00200	CDS	1233				hypothetical protein
PDJKFJDK_00201	CDS	441				hypothetical protein
PDJKFJDK_00202	CDS	747				hypothetical protein
PDJKFJDK_00203	CDS	897	argB	2.7.2.8	COG0548	Acetylglutamate kinase
PDJKFJDK_00204	CDS	225				hypothetical protein
PDJKFJDK_00205	CDS	777				hypothetical protein
PDJKFJDK_00206	CDS	795	ycbX		COG0633	putative protein YcbX
PDJKFJDK_00207	CDS	2625	clpB_1			Chaperone protein ClpB
PDJKFJDK_00208	CDS	348				hypothetical protein
PDJKFJDK_00209	CDS	678	prpE	3.6.1.17	COG0639	Bis(5'-nucleosyl)-tetraphosphatase PrpE [asymmetrical]
PDJKFJDK_00210	CDS	732				hypothetical protein
PDJKFJDK_00211	CDS	1440	atoE		COG2031	Putative short-chain fatty acid transporter
PDJKFJDK_00212	CDS	372				hypothetical protein
PDJKFJDK_00213	CDS	660	engB		COG0218	putative GTP-binding protein EngB
PDJKFJDK_00214	CDS	1851	yidC		COG0706	Membrane protein insertase YidC
PDJKFJDK_00215	CDS	498	rnpA	3.1.26.5		Ribonuclease P protein component
PDJKFJDK_00216	CDS	135	rpmH			50S ribosomal protein L34
PDJKFJDK_00217	CDS	534				hypothetical protein
PDJKFJDK_00218	CDS	255				hypothetical protein
PDJKFJDK_00219	CDS	1857			COG1132	putative ABC transporter ATP-binding protein
PDJKFJDK_00220	CDS	1008	dcyD	4.4.1.15	COG2515	D-cysteine desulfhydrase
PDJKFJDK_00221	CDS	285				hypothetical protein
PDJKFJDK_00222	CDS	240				hypothetical protein
PDJKFJDK_00223	CDS	1014	ompA			Outer membrane protein A
PDJKFJDK_00224	CDS	993				hypothetical protein
PDJKFJDK_00225	CDS	822	ymdB	3.1.4.16	COG1692	2',3'-cyclic-nucleotide 2'-phosphodiesterase
PDJKFJDK_00226	CDS	591	ygfA	6.3.3.2	COG0212	5-formyltetrahydrofolate cyclo-ligase
PDJKFJDK_00227	CDS	372				hypothetical protein
PDJKFJDK_00228	CDS	321				hypothetical protein
PDJKFJDK_00229	CDS	1008	gapA	1.2.1.12	COG0057	Glyceraldehyde-3-phosphate dehydrogenase 1
PDJKFJDK_00230	CDS	519				hypothetical protein
PDJKFJDK_00231	CDS	1203	pgk	2.7.2.3	COG0126	Phosphoglycerate kinase
PDJKFJDK_00232	CDS	1068	fda	4.1.2.13	COG0191	Fructose-bisphosphate aldolase
PDJKFJDK_00233	CDS	669	thiE_1	2.5.1.3		Thiamine-phosphate synthase
PDJKFJDK_00234	CDS	1149				hypothetical protein
PDJKFJDK_00235	CDS	1401	yhdG_1		COG0531	putative amino acid permease YhdG
PDJKFJDK_00236	CDS	1524	nnr		COG0062	Bifunctional NAD(P)H-hydrate repair enzyme Nnr
PDJKFJDK_00237	CDS	339	glnB		COG0347	Nitrogen regulatory protein P-II
PDJKFJDK_00238	CDS	930	glsA	3.5.1.2	COG2066	Thermolabile glutaminase
PDJKFJDK_00239	CDS	1047	glnII	6.3.1.2	COG0174	Glutamine synthetase
PDJKFJDK_00240	CDS	1410	glnA	6.3.1.2	COG0174	Glutamine synthetase
PDJKFJDK_00241	CDS	1902				hypothetical protein
PDJKFJDK_00242	CDS	579	azr	1.7.1.6		NADPH azoreductase
PDJKFJDK_00243	CDS	339				hypothetical protein
PDJKFJDK_00244	CDS	2382	rnr	3.1.13.1	COG0557	Ribonuclease R
PDJKFJDK_00245	CDS	492				hypothetical protein
PDJKFJDK_00246	CDS	684				hypothetical protein
PDJKFJDK_00247	CDS	981				hypothetical protein
PDJKFJDK_00248	CDS	1965				hypothetical protein
PDJKFJDK_00249	CDS	870				hypothetical protein
PDJKFJDK_00250	CDS	1005	queG	1.17.99.6	COG1600	Epoxyqueuosine reductase
PDJKFJDK_00251	CDS	693	fzlA			FtsZ-localized protein A
PDJKFJDK_00252	CDS	840	uppP	3.6.1.27	COG1968	Undecaprenyl-diphosphatase
PDJKFJDK_00253	CDS	1818	mutA	5.4.99.2	COG1884	Methylmalonyl-CoA mutase small subunit
PDJKFJDK_00254	CDS	393				hypothetical protein
PDJKFJDK_00255	CDS	468				hypothetical protein
PDJKFJDK_00256	CDS	444				hypothetical protein
PDJKFJDK_00257	CDS	552	rfbC_1	5.1.3.13	COG1898	dTDP-4-dehydrorhamnose 3,5-epimerase
PDJKFJDK_00258	CDS	1059	rffG	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase 2
PDJKFJDK_00259	CDS	891	rmlD	1.1.1.133		dTDP-4-dehydrorhamnose reductase
PDJKFJDK_00260	CDS	891	rffH	2.7.7.24	COG1209	Glucose-1-phosphate thymidylyltransferase 2
PDJKFJDK_00261	CDS	636				hypothetical protein
PDJKFJDK_00262	CDS	870	aaeA_1			p-hydroxybenzoic acid efflux pump subunit AaeA
PDJKFJDK_00263	CDS	2037	secA_1		COG0653	Protein translocase subunit SecA
PDJKFJDK_00264	CDS	2148				hypothetical protein
PDJKFJDK_00265	CDS	1902				hypothetical protein
PDJKFJDK_00266	CDS	297				hypothetical protein
PDJKFJDK_00267	CDS	1077				hypothetical protein
PDJKFJDK_00268	CDS	660				hypothetical protein
PDJKFJDK_00269	CDS	2400				hypothetical protein
PDJKFJDK_00270	CDS	876				hypothetical protein
PDJKFJDK_00271	CDS	933	moaA_1			GTP 3',8-cyclase
PDJKFJDK_00272	CDS	1005				hypothetical protein
PDJKFJDK_00273	CDS	801				hypothetical protein
PDJKFJDK_00274	CDS	45759				hypothetical protein
PDJKFJDK_00275	CDS	816				hypothetical protein
PDJKFJDK_00276	CDS	792	COQ5_1	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
PDJKFJDK_00277	CDS	1380				hypothetical protein
PDJKFJDK_00278	CDS	1314				hypothetical protein
PDJKFJDK_00279	CDS	1440	mmcO	1.16.3.1	COG2132	Multicopper oxidase MmcO
PDJKFJDK_00280	tRNA	85				tRNA-Leu(tag)
PDJKFJDK_00281	CDS	1437	tig	5.2.1.8	COG0544	Trigger factor
PDJKFJDK_00282	CDS	627	clpP_1	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
PDJKFJDK_00283	CDS	1272	clpX			ATP-dependent Clp protease ATP-binding subunit ClpX
PDJKFJDK_00284	CDS	2421	lon	3.4.21.53		Lon protease
PDJKFJDK_00285	tRNA	76				tRNA-Val(tac)
PDJKFJDK_00286	CDS	1779				hypothetical protein
PDJKFJDK_00287	CDS	4548				hypothetical protein
PDJKFJDK_00288	CDS	414				hypothetical protein
PDJKFJDK_00289	CDS	273				hypothetical protein
PDJKFJDK_00290	CDS	384				hypothetical protein
PDJKFJDK_00291	CDS	342				hypothetical protein
PDJKFJDK_00292	CDS	552	hin_1		COG1961	DNA-invertase hin
PDJKFJDK_00293	CDS	1482				hypothetical protein
PDJKFJDK_00294	CDS	234				hypothetical protein
PDJKFJDK_00295	CDS	339			COG3039	IS5 family transposase ISMch2
PDJKFJDK_00296	CDS	243				hypothetical protein
PDJKFJDK_00297	CDS	195				hypothetical protein
PDJKFJDK_00298	CDS	246				hypothetical protein
PDJKFJDK_00299	CDS	780				hypothetical protein
PDJKFJDK_00300	CDS	849				hypothetical protein
PDJKFJDK_00301	CDS	1239	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
PDJKFJDK_00302	CDS	948	egtD_1	2.1.1.44	COG4301	Histidine N-alpha-methyltransferase
PDJKFJDK_00303	CDS	1017	prmC_1	2.1.1.297		Release factor glutamine methyltransferase
PDJKFJDK_00304	CDS	756				hypothetical protein
PDJKFJDK_00305	CDS	597				hypothetical protein
PDJKFJDK_00306	CDS	2016				hypothetical protein
PDJKFJDK_00307	CDS	795	kpsM_1		COG1682	Polysialic acid transport protein KpsM
PDJKFJDK_00308	tRNA	76				tRNA-Ala(ggc)
PDJKFJDK_00309	CDS	702				hypothetical protein
PDJKFJDK_00310	CDS	1194				hypothetical protein
PDJKFJDK_00311	CDS	393				hypothetical protein
PDJKFJDK_00312	CDS	3141	polA	2.7.7.7	COG0258	DNA polymerase I
PDJKFJDK_00313	CDS	663	nfi	3.1.21.7	COG1515	Endonuclease V
PDJKFJDK_00314	CDS	1098	ychF		COG0012	Ribosome-binding ATPase YchF
PDJKFJDK_00315	CDS	633	pth	3.1.1.29	COG0193	Peptidyl-tRNA hydrolase
PDJKFJDK_00316	CDS	687	rplY		COG1825	50S ribosomal protein L25
PDJKFJDK_00317	CDS	483				hypothetical protein
PDJKFJDK_00318	CDS	195				hypothetical protein
PDJKFJDK_00319	CDS	510				hypothetical protein
PDJKFJDK_00320	CDS	786				hypothetical protein
PDJKFJDK_00321	CDS	1509	sctC			Type 3 secretion system secretin
PDJKFJDK_00322	CDS	747				hypothetical protein
PDJKFJDK_00323	CDS	1245				hypothetical protein
PDJKFJDK_00324	CDS	1449				hypothetical protein
PDJKFJDK_00325	CDS	972				hypothetical protein
PDJKFJDK_00326	CDS	972				hypothetical protein
PDJKFJDK_00327	CDS	999				hypothetical protein
PDJKFJDK_00328	CDS	1263	yhjE_1			Inner membrane metabolite transport protein YhjE
PDJKFJDK_00329	CDS	426	ohrB		COG1764	Organic hydroperoxide resistance protein OhrB
PDJKFJDK_00330	CDS	582				hypothetical protein
PDJKFJDK_00331	CDS	432				hypothetical protein
PDJKFJDK_00332	CDS	1320				putative MFS-type transporter
PDJKFJDK_00333	CDS	1527				hypothetical protein
PDJKFJDK_00334	CDS	420				hypothetical protein
PDJKFJDK_00335	CDS	912				hypothetical protein
PDJKFJDK_00336	CDS	333				hypothetical protein
PDJKFJDK_00337	CDS	366				hypothetical protein
PDJKFJDK_00338	CDS	630	rnd_1	3.1.13.5		Ribonuclease D
PDJKFJDK_00339	CDS	759				hypothetical protein
PDJKFJDK_00340	CDS	741	lptA			Lipopolysaccharide export system protein LptA
PDJKFJDK_00341	CDS	870	lptB_1	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
PDJKFJDK_00342	CDS	1536	rpoN2		COG1508	RNA polymerase sigma-54 factor 2
PDJKFJDK_00343	CDS	609	yvyD		COG1544	Ribosome hibernation promotion factor
PDJKFJDK_00344	CDS	468	ptsN		COG1762	Nitrogen regulatory protein
PDJKFJDK_00345	CDS	330				hypothetical protein
PDJKFJDK_00346	CDS	1014	bchI	6.6.1.1	COG1239	Magnesium-chelatase 38 kDa subunit
PDJKFJDK_00347	CDS	567				hypothetical protein
PDJKFJDK_00348	CDS	639	gpmA_1	5.4.2.11		2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
PDJKFJDK_00349	CDS	804	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
PDJKFJDK_00350	CDS	690				hypothetical protein
PDJKFJDK_00351	CDS	753				hypothetical protein
PDJKFJDK_00352	CDS	780	gloB_1	3.1.2.6	COG0491	Hydroxyacylglutathione hydrolase
PDJKFJDK_00353	CDS	153				hypothetical protein
PDJKFJDK_00354	CDS	987	xerD_1			Tyrosine recombinase XerD
PDJKFJDK_00355	CDS	1218				hypothetical protein
PDJKFJDK_00356	CDS	2232		3.2.1.-		Beta-xylosidase
PDJKFJDK_00357	CDS	1203	yejE		COG4239	Inner membrane ABC transporter permease protein YejE
PDJKFJDK_00358	CDS	525				hypothetical protein
PDJKFJDK_00359	CDS	1185	ybdL	2.6.1.88	COG0436	Methionine aminotransferase
PDJKFJDK_00360	CDS	174				hypothetical protein
PDJKFJDK_00361	CDS	1380	mdtA_1			Multidrug resistance protein MdtA
PDJKFJDK_00362	CDS	3138	mdtB_1			Multidrug resistance protein MdtB
PDJKFJDK_00363	CDS	3315	mdtB_2		COG0841	Multidrug resistance protein MdtB
PDJKFJDK_00364	CDS	1548	oprM		COG1538	Outer membrane protein OprM
PDJKFJDK_00365	CDS	1509	zwf_1	1.1.1.49	COG0364	Glucose-6-phosphate 1-dehydrogenase
PDJKFJDK_00366	CDS	1110	leuB	1.1.1.85		3-isopropylmalate dehydrogenase
PDJKFJDK_00367	CDS	318				hypothetical protein
PDJKFJDK_00368	CDS	1608				hypothetical protein
PDJKFJDK_00369	CDS	1689	mdlC	4.1.1.7		Benzoylformate decarboxylase
PDJKFJDK_00370	CDS	429				hypothetical protein
PDJKFJDK_00371	CDS	963				hypothetical protein
PDJKFJDK_00372	CDS	699	mtgA_1	2.4.1.129	COG0744	Biosynthetic peptidoglycan transglycosylase
PDJKFJDK_00373	CDS	336				hypothetical protein
PDJKFJDK_00374	CDS	606				hypothetical protein
PDJKFJDK_00375	CDS	1404				hypothetical protein
PDJKFJDK_00376	CDS	1134	takP		COG4663	Alpha-keto acid-binding periplasmic protein TakP
PDJKFJDK_00377	CDS	576				hypothetical protein
PDJKFJDK_00378	CDS	1125	livJ		COG0683	Leu/Ile/Val/Thr-binding protein
PDJKFJDK_00379	CDS	1062	xerC_2			Tyrosine recombinase XerC
PDJKFJDK_00380	CDS	447				hypothetical protein
PDJKFJDK_00381	CDS	123				hypothetical protein
PDJKFJDK_00382	CDS	723				hypothetical protein
PDJKFJDK_00383	CDS	969				hypothetical protein
PDJKFJDK_00384	CDS	2064	ftsH_2	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
PDJKFJDK_00385	CDS	843				hypothetical protein
PDJKFJDK_00386	CDS	1698				hypothetical protein
PDJKFJDK_00387	CDS	2145				hypothetical protein
PDJKFJDK_00388	CDS	309				IS630 family transposase ISMex21
PDJKFJDK_00389	CDS	1029				IS110 family transposase ISMmg1
PDJKFJDK_00390	CDS	300				hypothetical protein
